,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-0.07704986279123767,-0.07677533081238119,-4.398902426270149,-4.4146319499999995,0.015729523729850925
5,$d_{1}$ [mm],-0.00441463195,-0.004414799040405721,-4.414799040405721,-4.41463195,-0.0001670904057204936
6,$r_{1}$ [mm],-0.00441463195,-0.0060881152730565,-6.0881152730565,-4.41463195,-1.6734833230564998
7,$\alpha_{1}$ [$\degree$],-0.07704986279123771,-0.07561076326461791,-4.332177620825412,-4.414631950000001,0.08245432917458917
8,$\theta_{2}$ [$\degree$],-0.059097999517169694,-0.0596833527019405,-3.419604217011909,-3.3860659500000008,-0.03353826701190821
9,$d_{2}$ [mm],-0.00338606595,-0.0015492092396928148,-1.5492092396928148,-3.38606595,1.8368567103071851
10,$r_{2}$ [mm],-0.0033860659500000168,-0.004899049977047931,-4.899049977047931,-3.3860659500000168,-1.5129840270479145
11,$\alpha_{2}$ [$\degree$],-0.05909799951716965,-0.058206126485117915,-3.334965389401898,-3.386065949999998,0.05110056059810031
12,$\theta_{3}$ [$\degree$],0.08267632782478161,0.08312946333829914,4.762967402472047,4.73700465,0.025962752472047157
13,$d_{3}$ [mm],0.00473700465,0.0021475784624969125,2.1475784624969125,4.73700465,-2.5894261875030877
14,$r_{3}$ [mm],0.00473700465,0.004169608646296096,4.169608646296096,4.73700465,-0.5673960037039043
15,$\alpha_{3}$ [$\degree$],0.08267632782478151,0.08224458229623943,4.712267453390888,4.737004649999995,-0.024737196609106782
16,$\theta_{4}$ [$\degree$],0.03972530384162591,0.039344987779437755,2.2543017447555838,2.2760922500000005,-0.021790505244416725
17,$d_{4}$ [mm],0.0022760922500000003,0.003928910713142512,3.928910713142512,2.2760922500000005,1.6528184631425114
18,$r_{4}$ [mm],0.002276092250000028,0.0042466351740614305,4.2466351740614305,2.276092250000028,1.9705429240614025
19,$\alpha_{4}$ [$\degree$],0.03972530384162587,0.039163830783113696,2.2439222134369485,2.276092249999998,-0.03217003656304929
20,$\theta_{5}$ [$\degree$],0.03370772099468557,0.032055709916231016,1.8366568874956988,1.93131015,-0.09465326250430128
21,$d_{5}$ [mm],0.00193131015,-0.003448727810205404,-3.448727810205404,1.9313101499999998,-5.380037960205404
22,$r_{5}$ [mm],0.00193131015,0.0015524197167305035,1.5524197167305034,1.9313101499999998,-0.37889043326949645
23,$\alpha_{5}$ [$\degree$],0.033707720994685664,0.03327590341148556,1.9065688249631008,1.9313101500000058,-0.02474132503690507
24,$\theta_{6}$ [$\degree$],-0.07425414727150335,-0.07675006239912785,-4.39745465283574,-4.2544492499999995,-0.14300540283574037
25,$d_{6}$ [mm],-0.004254449249999999,0.0002997168218636442,0.2997168218636442,-4.2544492499999995,4.554166071863643
26,$r_{6}$ [mm],-0.004254449250000014,-0.00428984844307162,-4.2898484430716195,-4.254449250000015,-0.035399193071604884
27,$\alpha_{6}$ [$\degree$],-0.07425414727150326,-0.07474580079907311,-4.282618922112466,-4.254449249999994,-0.028169672112471567
28,$\theta_{7}$ [$\degree$],0.04291117026235103,0.04577662984168862,2.622807690261376,2.4586289499999996,0.16417874026137635
29,$d_{7}$ [mm],0.00245862895,0.0037969109747915137,3.7969109747915137,2.45862895,1.3382820247915137
30,$r_{7}$ [mm],0.00245862895,0.003651300515961715,3.6513005159617147,2.45862895,1.1926715659617146
31,$\alpha_{7}$ [$\degree$],0.04291117026235103,0.0417829894135735,2.3939889488375603,2.4586289499999996,-0.06464000116243929
