,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-1.0786980790773273,-72.78841111658204,-4170.4687544432745,-61.804847299999985,-4108.663907143275
5,$d_{1}$ [mm],-0.0618048473,-31859.065474198756,-31859065.474198755,-61.8048473,-31859003.669351455
6,$r_{1}$ [mm],-0.0618048473,-339846.651026766,-339846651.026766,-61.8048473,-339846589.2219187
7,$\alpha_{1}$ [$\degree$],-1.078698079077327,2.4005297399365846,137.5402226940034,-61.80484729999998,199.34506999400338
8,$\theta_{2}$ [$\degree$],-0.8273719932403757,78.91597938330325,4521.5525548046935,-47.40492330000001,4568.957478104693
9,$d_{2}$ [mm],-0.0474049233,191777.0963796216,191777096.3796216,-47.4049233,191777143.7845449
10,$r_{2}$ [mm],-0.04740492330000001,-1256009.125606365,-1256009125.606365,-47.404923300000014,-1256009078.2014418
11,$\alpha_{2}$ [$\degree$],-0.8273719932403757,0.08531708698741314,4.8883090047292885,-47.40492330000001,52.293232304729294
12,$\theta_{3}$ [$\degree$],1.1574685895469425,8.499140105480048,486.9648575343801,66.3180651,420.6467924343801
13,$d_{3}$ [mm],0.0663180651,-121617.67062635228,-121617670.62635228,66.3180651,-121617736.94441739
14,$r_{3}$ [mm],0.0663180651,-1989622.4981253212,-1989622498.1253211,66.3180651,-1989622564.4433863
15,$\alpha_{3}$ [$\degree$],1.1574685895469425,-0.5550343989084721,-31.801128542035997,66.3180651,-98.119193642036
16,$\theta_{4}$ [$\degree$],0.5561542537827627,-0.3451231408596015,-19.77409938355418,31.865291500000005,-51.639390883554185
17,$d_{4}$ [mm],0.031865291500000004,102397.94206859655,102397942.06859654,31.865291500000005,102397910.20330504
18,$r_{4}$ [mm],0.031865291500000004,37934.00331909364,37934003.31909364,31.865291500000005,37933971.45380214
19,$\alpha_{4}$ [$\degree$],0.5561542537827626,0.1654247731673264,9.47814132939679,31.865291499999998,-22.387150170603206
20,$\theta_{5}$ [$\degree$],0.4719080939255979,-1.2218744502158074,-70.00824909223358,27.0383421,-97.04659119223359
21,$d_{5}$ [mm],0.0270383421,-126146.91243628423,-126146912.43628423,27.0383421,-126146939.47462633
22,$r_{5}$ [mm],0.0270383421,15261.436446139585,15261436.446139585,27.0383421,15261409.407797486
23,$\alpha_{5}$ [$\degree$],0.47190809392559796,1.37489269703407,78.77554882341117,27.038342100000005,51.73720672341116
24,$\theta_{6}$ [$\degree$],-1.039558061801047,-2.8535986488847014,-163.49915900532747,-59.562289499999984,-103.93686950532748
25,$d_{6}$ [mm],-0.0595622895,53060.29882445552,53060298.82445552,-59.5622895,53060358.38674502
26,$r_{6}$ [mm],-0.059562289499999976,47114.27866839793,47114278.668397926,-59.56228949999998,47114338.230687425
27,$\alpha_{6}$ [$\degree$],-1.039558061801047,-1.9091914317280483,-109.38861132055621,-59.562289499999984,-49.826321820556224
28,$\theta_{7}$ [$\degree$],0.6007563836729146,1.498591281648441,85.86295565355653,34.420805300000005,51.44215035355652
29,$d_{7}$ [mm],0.0344208053,27716.605396187093,27716605.396187093,34.420805300000005,27716570.97538179
30,$r_{7}$ [mm],0.0344208053,-56333.512073106984,-56333512.07310698,34.420805300000005,-56333546.49391228
31,$\alpha_{7}$ [$\degree$],0.6007563836729146,-0.09946812727128573,-5.699103888714799,34.420805300000005,-40.1199091887148
