,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-0.00013,-0.0001303075442475779,-0.007466072324100443,-0.007448451336700701,-1.762098739974214e-05
5,$d_{1}$ [mm],-0.00013,-0.00012963682014740456,-0.12963682014740455,-0.12999999999999998,0.00036317985259542995
6,$r_{1}$ [mm],-0.00013,-0.0001305092997571485,-0.1305092997571485,-0.12999999999999998,-0.0005092997571485292
7,$\alpha_{1}$ [$\degree$],-0.00012999999999996348,-0.00013026573411778486,-0.007463676780122407,-0.007448451336698609,-1.5225443423797468e-05
8,$\theta_{2}$ [$\degree$],-0.00152,-0.001520273595982347,-0.08710526075496534,-0.08708958485988515,-1.5675895080197177e-05
9,$d_{2}$ [mm],-0.00152,-0.001520837027468903,-1.520837027468903,-1.52,-0.0008370274689029067
10,$r_{2}$ [mm],-0.0015200000000000213,-0.0015200546045174845,-1.5200546045174845,-1.5200000000000213,-5.4604517463197055e-05
11,$\alpha_{2}$ [$\degree$],-0.0015199999999999658,-0.0015192759008522128,-0.0870480970347679,-0.08708958485988316,4.148782511526061e-05
12,$\theta_{3}$ [$\degree$],0.00029,0.00028975011985644847,0.016601458981184248,0.016615776058793875,-1.431707760962686e-05
13,$d_{3}$ [mm],0.00029,0.00029053776762574585,0.29053776762574585,0.29,0.0005377676257458663
14,$r_{3}$ [mm],0.00029,0.0002902105929310037,0.2902105929310037,0.29,0.000210592931003728
15,$\alpha_{3}$ [$\degree$],0.00028999999999990145,0.0002895939039582185,0.016592508469522826,0.016615776058788227,-2.326758926540079e-05
16,$\theta_{4}$ [$\degree$],-0.00038,-0.00038025955871410935,-0.02178726783382559,-0.021772396214971287,-1.4871618854304242e-05
17,$d_{4}$ [mm],-0.00038,-0.00037994750218879066,-0.37994750218879064,-0.38,5.2497811209362144e-05
18,$r_{4}$ [mm],-0.00037999999999999146,-0.0003799611973016037,-0.3799611973016037,-0.37999999999999146,3.8802698387740975e-05
19,$\alpha_{4}$ [$\degree$],-0.00038000000000004697,-0.00037922809633750276,-0.0217281693929195,-0.021772396214973972,4.422682205447101e-05
20,$\theta_{5}$ [$\degree$],0.00064,0.000640110810600324,0.03667564786809656,0.03666929888837269,6.348979723867776e-06
21,$d_{5}$ [mm],0.00064,0.0006399489717088424,0.6399489717088424,0.64,-5.1028291157662053e-05
22,$r_{5}$ [mm],0.00064,0.0006401034058135356,0.6401034058135356,0.64,0.00010340581353562861
23,$\alpha_{5}$ [$\degree$],0.0006399999999999739,0.0006394702625980297,0.03663894717098956,0.03666929888837119,-3.035171738163117e-05
24,$\theta_{6}$ [$\degree$],0.0007400000000000001,0.0007403100718823643,0.04241664264988607,0.042398876839680924,1.7765810205148946e-05
25,$d_{6}$ [mm],0.0007400000000000001,0.000739995549758689,0.739995549758689,0.7400000000000001,-4.4502413111269234e-06
26,$r_{6}$ [mm],0.0007400000000000184,0.0007400336137786678,0.7400336137786678,0.7400000000000184,3.361377864941062e-05
27,$\alpha_{6}$ [$\degree$],0.0007399999999999629,0.0007406053096536969,0.042433558528136274,0.042398876839678794,3.468168845748021e-05
28,$\theta_{7}$ [$\degree$],-0.00072,-0.0007199848206815851,-0.04125209153853821,-0.041252961249419275,8.697108810629128e-07
29,$d_{7}$ [mm],-0.0007199999999999984,-0.0007199346496657433,-0.7199346496657433,-0.7199999999999984,6.535033425514314e-05
30,$r_{7}$ [mm],-0.00072,-0.0007200677816615419,-0.720067781661542,-0.7200000000000001,-6.778166154186582e-05
31,$\alpha_{7}$ [$\degree$],-0.0007200000000000539,-0.0007205636893452549,-0.04128525826985888,-0.04125296124942236,-3.229702043651417e-05
