,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-0.7704986279123767,-0.8002389712658368,-45.8503156554232,-44.14631949999999,-1.7039961554232121
5,$d_{1}$ [mm],-0.044146319499999996,-0.03729654847206931,-37.29654847206931,-44.1463195,6.849771027930686
6,$r_{1}$ [mm],-0.044146319499999996,0.25843716312771714,258.43716312771716,-44.1463195,302.58348262771716
7,$\alpha_{1}$ [$\degree$],-0.7704986279123767,-0.689024613536344,-39.47820233626513,-44.14631949999999,4.668117163734863
8,$\theta_{2}$ [$\degree$],-0.590979995171697,-0.6430517051257558,-36.84414871239694,-33.860659500000004,-2.9834892123969325
9,$d_{2}$ [mm],-0.0338606595,-0.12042298659144754,-120.42298659144754,-33.860659500000004,-86.56232709144754
10,$r_{2}$ [mm],-0.0338606595,0.2651375242558427,265.1375242558427,-33.860659500000004,298.9981837558427
11,$\alpha_{2}$ [$\degree$],-0.590979995171697,-0.7331940565338855,-42.00892500346792,-33.860659500000004,-8.148265503467918
12,$\theta_{3}$ [$\degree$],0.826763278247816,0.7563604085640835,43.33625920151259,47.3700465,-4.033787298487411
13,$d_{3}$ [mm],0.0473700465,0.08518917387848629,85.18917387848629,47.3700465,37.819127378486286
14,$r_{3}$ [mm],0.0473700465,0.21987014938519484,219.87014938519482,47.3700465,172.50010288519482
15,$\alpha_{3}$ [$\degree$],0.826763278247816,0.8852060333403746,50.7185697099203,47.3700465,3.3485232099203017
16,$\theta_{4}$ [$\degree$],0.3972530384162591,0.3893358530255252,22.307301191488317,22.760922500000003,-0.4536213085116856
17,$d_{4}$ [mm],0.0227609225,0.12186619767997593,121.86619767997593,22.7609225,99.10527517997593
18,$r_{4}$ [mm],0.022760922500000003,-0.023230282394418877,-23.23028239441888,22.760922500000003,-45.991204894418885
19,$\alpha_{4}$ [$\degree$],0.39725303841625914,0.34933295186530855,20.01530378672892,22.760922500000003,-2.7456187132710816
20,$\theta_{5}$ [$\degree$],0.33707720994685564,0.2937819555712688,16.832466151333563,19.3131015,-2.4806353486664356
21,$d_{5}$ [mm],0.0193131015,-0.08688194101257853,-86.88194101257852,19.3131015,-106.19504251257852
22,$r_{5}$ [mm],0.0193131015,0.022728685009525934,22.728685009525933,19.3131015,3.415583509525934
23,$\alpha_{5}$ [$\degree$],0.33707720994685575,0.37922091724365914,21.727758061141532,19.313101500000005,2.414656561141527
24,$\theta_{6}$ [$\degree$],-0.7425414727150336,-0.698001324512889,-39.99252998912991,-42.5444925,2.5519625108700836
25,$d_{6}$ [mm],-0.042544492499999996,0.03512031006311699,35.120310063116996,-42.5444925,77.664802563117
26,$r_{6}$ [mm],-0.042544492499999975,-0.10205648834545406,-102.05648834545406,-42.544492499999976,-59.51199584545408
27,$\alpha_{6}$ [$\degree$],-0.7425414727150336,-0.7412047025420355,-42.46790121090824,-42.5444925,0.07659128909175905
28,$\theta_{7}$ [$\degree$],0.4291117026235103,0.4451118133091556,25.50302831402964,24.586289499999996,0.9167388140296424
29,$d_{7}$ [mm],0.0245862895,0.001927873170987051,1.927873170987051,24.5862895,-22.658416329012947
30,$r_{7}$ [mm],0.0245862895,-0.0292742596198453,-29.2742596198453,24.5862895,-53.8605491198453
31,$\alpha_{7}$ [$\degree$],0.4291117026235103,0.42827625857748997,24.538422082143697,24.586289499999996,-0.047867417856299
